FK_NAME,PARENT_SCHEMA,PARENT_TABLE,PARENT_COLUMN,REF_SCHEMA,REF_TABLE,REF_COLUMN
"FK_5942_73531","dbo","TMP_FN_DOCUMENTORVSOPERACOES","DOCUMENTORVS","dbo","TMP_FN_DOCUMENTORVS","HANDLE"
"FK_5942_73533","dbo","TMP_FN_DOCUMENTORVSOPERACOES","CODIGONBS","dbo","TR_CODIGOSNBS","HANDLE"
"FK_5942_73535","dbo","TMP_FN_DOCUMENTORVSOPERACOES","MODOPRESTACAO","dbo","TR_SSMODOPRESTACAO","HANDLE"
"FK_5942_73603","dbo","TMP_FN_DOCUMENTORVSOPERACOES","ORIGEM","dbo","FN_LANCAMENTOS","HANDLE"
"FK_7137_87417","dbo","TMP_FN_OPRASDECLARACAOIMPORT","OPERACAO","dbo","TMP_FN_DOCUMENTORASOPERACOES","HANDLE"
"FK_7139_87421","dbo","TMP_FN_OPRASREGISTROEXPORTACAO","OPERACAO","dbo","TMP_FN_DOCUMENTORASOPERACOES","HANDLE"
"FK_7128_87400","dbo","TMP_FN_OPRVSDECLARACAOIMPORT","OPERACAO","dbo","TMP_FN_DOCUMENTORVSOPERACOES","HANDLE"
"FK_7123_87393","dbo","TMP_FN_OPRVSREGISTROEXPORTACAO","OPERACAO","dbo","TMP_FN_DOCUMENTORVSOPERACOES","HANDLE"
"FK_1915_18353","dbo","TMP_FOLLOWUP","LIGACAO","dbo","CP_ORDENSCOMPRAITENS","HANDLE"
"FK_6256_77231","dbo","TMP_RECEBIMENTOFISICO","RECEBIMENTOFISICOPAI","dbo","TMP_RECEBIMENTOFISICOPAI","HANDLE"
"FK_4986_61930","dbo","TQ_AUTORIZACOESNFE","DOCUMENTO","dbo","FN_DOCUMENTOS","HANDLE"
"FK_4986_61932","dbo","TQ_AUTORIZACOESNFE","USUARIO","dbo","Z_GRUPOUSUARIOS","HANDLE"
"FK_4499_57441","dbo","TQ_CONTABILIZACOES","EMPRESA","dbo","EMPRESAS","HANDLE"
"FK_1354_9294","dbo","TQ_CONTASTESOURARIA","FILIAL","dbo","FILIAIS","HANDLE"
"FK_1354_9295","dbo","TQ_CONTASTESOURARIA","NUMEROCONTA","dbo","FN_CONTASTESOURARIA","HANDLE"
"FK_1301_8608","dbo","TQ_CONTATOTAIS","FILIAL","dbo","FILIAIS","HANDLE"
"FK_1301_8609","dbo","TQ_CONTATOTAIS","CONTA","dbo","CT_CONTAS","HANDLE"
"FK_1301_8612","dbo","TQ_CONTATOTAIS","CENTROCUSTO","dbo","CT_CC","HANDLE"
"FK_1301_8618","dbo","TQ_CONTATOTAIS","PROJETO","dbo","GN_PROJETOS","HANDLE"
"FK_4765_59681","dbo","TQ_DOCUMENTOSNFE","EMPRESA","dbo","EMPRESAS","HANDLE"
"FK_4765_59682","dbo","TQ_DOCUMENTOSNFE","FILIAL","dbo","FILIAIS","HANDLE"
"FK_4765_59683","dbo","TQ_DOCUMENTOSNFE","USUARIO","dbo","Z_GRUPOUSUARIOS","HANDLE"
"FK_4765_59684","dbo","TQ_DOCUMENTOSNFE","DOCUMENTO","dbo","FN_DOCUMENTOS","HANDLE"
"FK_7120_87326","dbo","TQ_ENVIOHOSPITALAR","EMPRESA","dbo","EMPRESAS","HANDLE"
"FK_2563_28577","dbo","TQ_ESTOQUEPLANEJADO","PRODUTO","dbo","PD_PRODUTOS","HANDLE"
"FK_2563_28578","dbo","TQ_ESTOQUEPLANEJADO","VARIACAO","dbo","PD_PRODUTOVARIACOESMESTRE","HANDLE"
"FK_2563_28579","dbo","TQ_ESTOQUEPLANEJADO","ALMOXARIFADO","dbo","PD_ALMOXARIFADOS","HANDLE"
"FK_2563_28584","dbo","TQ_ESTOQUEPLANEJADO","ORIGEM","dbo","Z_TABELAS","HANDLE"
"FK_6107_78583","dbo","TQ_FATURAMENTOELETRONICO","FILIAL","dbo","FILIAIS","HANDLE"
"FK_6107_78585","dbo","TQ_FATURAMENTOELETRONICO","DOCUMENTO","dbo","FN_DOCUMENTOS","HANDLE"
"FK_6154_76044","dbo","TQ_GERACAOFINANCEIROFISCAL","EMPRESA","dbo","EMPRESAS","HANDLE"
"FK_6154_76046","dbo","TQ_GERACAOFINANCEIROFISCAL","USUARIO","dbo","Z_GRUPOUSUARIOS","HANDLE"
"FK_5059_62819","dbo","TQ_INTEGRACOES","ENTIDADEORIGEM","dbo","W_ENTIDADES","HANDLE"
"FK_6148_76003","dbo","TQ_INTEGRACOESHOSPITALAR","EMPRESA","dbo","EMPRESAS","HANDLE"
"FK_6148_76005","dbo","TQ_INTEGRACOESHOSPITALAR","MOVIMENTACAO","dbo","FN_MOVIMENTACOES","HANDLE"
"FK_6148_76007","dbo","TQ_INTEGRACOESHOSPITALAR","USUARIO","dbo","Z_GRUPOUSUARIOS","HANDLE"
"FK_4502_57474","dbo","TQ_INTEGRACOESRH","EMPRESA","dbo","EMPRESAS","HANDLE"
"FK_4502_57475","dbo","TQ_INTEGRACOESRH","USUARIO","dbo","Z_GRUPOUSUARIOS","HANDLE"
"FK_4502_57477","dbo","TQ_INTEGRACOESRH","TABELAORIGEM","dbo","Z_TABELAS","HANDLE"
"FK_5166_64175","dbo","TQ_INTEGRACOESSAUDE","EMPRESA","dbo","EMPRESAS","HANDLE"
"FK_5166_64177","dbo","TQ_INTEGRACOESSAUDE","MOVIMENTACAO","dbo","FN_MOVIMENTACOES","HANDLE"
"FK_5166_64179","dbo","TQ_INTEGRACOESSAUDE","USUARIO","dbo","Z_GRUPOUSUARIOS","HANDLE"
"FK_1362_109553","dbo","TQ_ORCAMENTOTOTAIS","ACOESPROJETOS","dbo","OP_ACOESPROJETOS","HANDLE"
"FK_1362_115288","dbo","TQ_ORCAMENTOTOTAIS","CLASSIFICACAOORCAMENTARIA","dbo","OP_CLASSIFICACAOORCAMENTARIA","HANDLE"
"FK_1362_28547","dbo","TQ_ORCAMENTOTOTAIS","PROJETOGERENCIAL","dbo","CT_PROJETOSGERENCIAIS","HANDLE"
"FK_1362_28548","dbo","TQ_ORCAMENTOTOTAIS","CENTROCUSTOGERENCIAL","dbo","CT_CCGERENCIAIS","HANDLE"
"FK_1362_9455","dbo","TQ_ORCAMENTOTOTAIS","FILIAL","dbo","FILIAIS","HANDLE"
"FK_1362_9456","dbo","TQ_ORCAMENTOTOTAIS","CONTA","dbo","CT_CONTASGERENCIAIS","HANDLE"
"FK_1362_9457","dbo","TQ_ORCAMENTOTOTAIS","PROJETO","dbo","GN_PROJETOS","HANDLE"
"FK_1362_9458","dbo","TQ_ORCAMENTOTOTAIS","CENTROCUSTO","dbo","CT_CC","HANDLE"
"FK_1362_9462","dbo","TQ_ORCAMENTOTOTAIS","VERSAO","dbo","CT_VERSOESORCAMENTOS","HANDLE"
"FK_1362_9463","dbo","TQ_ORCAMENTOTOTAIS","PLANO","dbo","CT_PLANOSGERENCIAIS","HANDLE"
"FK_1362_95588","dbo","TQ_ORCAMENTOTOTAIS","DIMENSAOGERENCIAL","dbo","CT_DIMENSOESGERENCIAIS","HANDLE"
"FK_1362_95589","dbo","TQ_ORCAMENTOTOTAIS","DIMENSAO","dbo","CT_DIMENSAOGERENCIALESTRUTURAS","HANDLE"
"FK_1362_9672","dbo","TQ_ORCAMENTOTOTAIS","MOEDA","dbo","GN_MOEDAS","HANDLE"
"FK_4842_60300","dbo","TQ_RECALCULOPREVISOES","DOCUMENTO","dbo","FN_DOCUMENTOS","HANDLE"
"FK_7669_92584","dbo","TR_AGENDAFISCALALERTA","OBRIGACAOLEGAL","dbo","TR_AGENDAFISCALOBRIGACAO","HANDLE"
"FK_7670_92586","dbo","TR_AGENDAFISCALALERTAUSUARIOS","ALERTA","dbo","TR_AGENDAFISCALALERTA","HANDLE"
"FK_7670_92587","dbo","TR_AGENDAFISCALALERTAUSUARIOS","USUARIO","dbo","Z_GRUPOUSUARIOS","HANDLE"
"FK_7671_92595","dbo","TR_AGENDAFISCALAUDITORIA","ALERTA","dbo","TR_AGENDAFISCALALERTA","HANDLE"
"FK_8422_99480","dbo","TR_AJUSTEDOCUMENTODCIP","EMPRESA","dbo","EMPRESAS","HANDLE"
"FK_8422_99481","dbo","TR_AJUSTEDOCUMENTODCIP","FILIAL","dbo","FILIAIS","HANDLE"
"FK_8422_99483","dbo","TR_AJUSTEDOCUMENTODCIP","CODIGOAJUSTE","dbo","TR_CODIGOSAJUSTEDOCFISCAL","HANDLE"
"FK_6761_83311","dbo","TR_ALIQUOTAADICIONALCOFINSNCM","ALIQUOTAADICIONAL","dbo","TR_ALIQUOTAADICIONALCOFINS","HANDLE"
"FK_6761_83312","dbo","TR_ALIQUOTAADICIONALCOFINSNCM","NCM","dbo","TR_TIPIS","HANDLE"
"FK_2418_25753","dbo","TR_APURACAOANO","EMPRESA","dbo","EMPRESAS","HANDLE"
"FK_2418_25754","dbo","TR_APURACAOANO","FILIAL","dbo","FILIAIS","HANDLE"
"FK_5994_74205","dbo","TR_APURACAOCANCELADADOCTOS","APURACAOCANCELADA","dbo","TR_APURACOESCANCELADA","HANDLE"
"FK_5994_74206","dbo","TR_APURACAOCANCELADADOCTOS","FILIAL","dbo","FILIAIS","HANDLE"
"FK_5994_74207","dbo","TR_APURACAOCANCELADADOCTOS","DOCUMENTO","dbo","FN_DOCUMENTOS","HANDLE"
"FK_5649_70234","dbo","TR_APURACAODEBITOSESPECIAIS","APURACAO","dbo","TR_APURACOES","HANDLE"
"FK_5649_70235","dbo","TR_APURACAODEBITOSESPECIAIS","DOCUMENTO","dbo","FN_DOCUMENTOS","HANDLE"
"FK_5649_70241","dbo","TR_APURACAODEBITOSESPECIAIS","CODIGOOBRIGACAO","dbo","TR_CODIGOSOBRIGACOES","HANDLE"
"FK_2026_20180","dbo","TR_APURACAOGIA","FILIAL","dbo","FILIAIS","HANDLE"
"FK_2030_20199","dbo","TR_APURACAOINCENTIVOS","FILIAL","dbo","FILIAIS","HANDLE"
"FK_2030_20201","dbo","TR_APURACAOINCENTIVOS","INCENTIVO","dbo","TR_INCENTIVOS","HANDLE"
"FK_2030_21391","dbo","TR_APURACAOINCENTIVOS","EMPRESA","dbo","EMPRESAS","HANDLE"
"FK_2030_57465","dbo","TR_APURACAOINCENTIVOS","CODIGOAJUSTE","dbo","TR_CODIGOSAJUSTEAPURACAO","HANDLE"
"FK_2030_57466","dbo","TR_APURACAOINCENTIVOS","CODIGOAJUSTEADICIONAL","dbo","TR_CODIGOSAJUSTEAPURACAO","HANDLE"
"FK_2030_65532","dbo","TR_APURACAOINCENTIVOS","IMPOSTOVENCIMENTO","dbo","TR_IMPOSTOVENCIMENTOS","HANDLE"
"FK_2030_65533","dbo","TR_APURACAOINCENTIVOS","CODIGOOBRIGACAO","dbo","TR_CODIGOSOBRIGACOES","HANDLE"
"FK_2030_65534","dbo","TR_APURACAOINCENTIVOS","CODIGORECEITA","dbo","TR_CODIGOSRECEITA","HANDLE"
"FK_2419_25758","dbo","TR_APURACAOMES","ANO","dbo","TR_APURACAOANO","HANDLE"
"FK_5896_73114","dbo","TR_APURACAORESSARCIMENTOST","EMPRESA","dbo","EMPRESAS","HANDLE"
"FK_5896_73115","dbo","TR_APURACAORESSARCIMENTOST","FILIAL","dbo","FILIAIS","HANDLE"
"FK_5896_73120","dbo","TR_APURACAORESSARCIMENTOST","PRODUTO","dbo","PD_PRODUTOS","HANDLE"
"FK_5896_73121","dbo","TR_APURACAORESSARCIMENTOST","UNIDADEMEDIDA","dbo","CM_UNIDADESMEDIDA","HANDLE"
"FK_5896_73152","dbo","TR_APURACAORESSARCIMENTOST","VARIACAO","dbo","PD_PRODUTOVARIACOESMESTRE","HANDLE"
"FK_1383_23688","dbo","TR_APURACOES","DOCUMENTO","dbo","FN_DOCUMENTOS","HANDLE"
"FK_1383_25760","dbo","TR_APURACOES","APURACAOMES","dbo","TR_APURACAOMES","HANDLE"
"FK_1383_25761","dbo","TR_APURACOES","EMPRESA","dbo","EMPRESAS","HANDLE"
"FK_1383_35550","dbo","TR_APURACOES","LOTE","dbo","CT_LOTES","HANDLE"
"FK_1383_35554","dbo","TR_APURACOES","OPERACAO","dbo","GN_OPERACOES","HANDLE"
"FK_1383_9766","dbo","TR_APURACOES","FILIAL","dbo","FILIAIS","HANDLE"
"FK_1383_9767","dbo","TR_APURACOES","IMPOSTO","dbo","TR_IMPOSTOS","HANDLE"
"FK_5993_74180","dbo","TR_APURACOESCANCELADA","EMPRESA","dbo","EMPRESAS","HANDLE"
"FK_5993_74181","dbo","TR_APURACOESCANCELADA","FILIAL","dbo","FILIAIS","HANDLE"
"FK_5993_74183","dbo","TR_APURACOESCANCELADA","IMPOSTO","dbo","TR_IMPOSTOS","HANDLE"
"FK_5993_74184","dbo","TR_APURACOESCANCELADA","COLETOR","dbo","GN_PESSOAS","HANDLE"
"FK_5993_74185","dbo","TR_APURACOESCANCELADA","DOCUMENTOGERADO","dbo","FN_DOCUMENTOS","HANDLE"
"FK_6686_108369","dbo","TR_APURACOESDIFAFCP","DOCUMENTODIFA","dbo","FN_DOCUMENTOS","HANDLE"
"FK_6686_108370","dbo","TR_APURACOESDIFAFCP","DOCUMENTOFCP","dbo","FN_DOCUMENTOS","HANDLE"
"FK_6686_82735","dbo","TR_APURACOESDIFAFCP","EMPRESA","dbo","EMPRESAS","HANDLE"
"FK_6686_82736","dbo","TR_APURACOESDIFAFCP","FILIAL","dbo","FILIAIS","HANDLE"
